Date,File,Change,Author
01-27-2026,K1T_B0T.html,Modified visual styles and updates LOGO.png to eerc.webp,Eli Gruhlke 
01-27-2026,K1T_B0T.html,Added loadDeletePanel function to dynamically load delete panel content,Caleb Schweigert
01-27-2026,K1T_B0T.html,Updated Summary to have a chat bubble and loadSummaryPanel function,Caleb Schweigert
01-29-2026,main.py,Created helper function for instruction reading. Changed 'messages' to 'chat_history',Eli Gruhlke
01-29-2026,n/a,Created github repo for backups,Eli Gruhlke
02-03-2026,main.py,Added file delete endpoint and list endpoint,Caleb Schweigert
02-03-2026,main.py,Fixed bug where initial instructions were not being loaded properly,Caleb Schweigert
02-03-2026,README.md,Updated README with new delete and upload instructions,Caleb Schweigert
02-09-2026,n/a, Installed 5 packages to get the SQL working: PostgreSQL SAQLAlchemy asyncpg alembic python-dotenv   Installed update to pip from 25.3 --> 26.0.1, Will Dani
02-13-2026,n/a,added cloudflared tunnel configuration. updated bot prompt format for better AI understanding. added session ids to separate multiple user sessions,Eli Gruhlke
02-14-2026,K1T_B0T.html,renamed to "index.html" so it is accessible from the root URL,Eli Gruhlke
02-14-2026,n/a,changed cloudflare setting to always use https. adds functionality for mobile devices which default to http, Eli Gruhlke
02-14-2026,main.py,added hidden message that is sent at the start of every session to trigger any session initialization on the backend, Eli Gruhlke
02-15-2026,index.html admin/index.html main.py,removed admin login and respective admin features. added admin/index.html. added function to main.py to prompt for login at k1tb0t.com/admin,Eli Gruhlke
02-24-2026,n/a, tested functionality of admin page on google chrome, Caleb Schweigert
02-24-2026,index.html, added mic and tts buttons to UI (functionality needs to be ironed out), Caleb Schweigert
03-11-2026,n/a, installed psycopg2 to connect to postgres database and installed python dotenv for loading environment variables, Will Dani
03-11-2026,.env, created the .env file to store database credentials, Will Dani
03-26-2026,index.html, added functionality to tts button and added stt, Caleb Schweigert
03-26-2026, index.html admin/index.html, worked on spicing up the UI to make it more visually appealing, Caleb Schweigert
03-27-2026,main.py, changed the system prompt to only include the bot rules and changed the user prompt to include the lesson notes, Eli Gruhlke
04-01-2026,.gitignore, created a .gitignore file so that sensitive files do not get uploaded to github when this project is pushed to it, Will Dani
04-01-2026, .env, changed the SQL DB password as it got leaked to github, Will Dani
04-01-2026, .env.example, created an example env file for github, Will Dani
04-01-2026, database.py, created a python file for making the connection to the SQL database, Will Dani
04-01-2026, test_db_flow.py, created a test file to see if the SQL DB will get information stored in it, Will Dani
04-01-2026, main.py, adding the ability for the conversations to be put into the SQL DB, Will Dani
04-03-2026, index.html, fixed class selection menu, Eli Gruhlke
04-03-2026, admin/index.html, fixed class config menu and modified summary generation methods screen, Eli Gruhlke
04-03-2026, class_configs/, removed week number and title from .json files, Eli Gruhlke
04-03-2026, main.py, modified summary generation logic to pull from database, Eli Gruhlke
04-06-2026, database.py, included a means to track what class is being talked about, Will Dani
04-06-2026, main.py, included a means to track what class is being talked about, Will Dani
04-06-2026, index.html, editted sendToBot function to also send the class_id, Will Dani
04-09-2026, index.html admin/index.html, Tweaked the HTML for Mobile so the site looks better for all pages, Caleb Schweigert
04-15-2026, main.py admin/index.html, adjusted the logic for how conversations are pulled from the database to be separated by class, Eli Gruhlke
04-15-2026, main.py, added a function to load instructions from the instruction files based on the class that is being talked about, Eli Gruhlke
04-16-2026, README.md, combined readme files, Eli Gruhlke